"","tpr","fpr","tdr","shd","method","is_directed","subj","sim"
"2",1,0,1,0,"pc","undirected",1,1
"3",1,0,1,0,"pc","directed",1,1
"4",1,0,1,0,"ges","undirected",1,1
"5",0.8,0.1,0.666666666666667,2,"ges","directed",1,1
"6",0,0,NA,5,"arges","undirected",1,1
"7",0,0,NA,5,"arges","directed",1,1
"21",1,0.133333333333333,0.833333333333333,1,"pc","undirected",2,1
"31",0.4,0.2,0.333333333333333,4,"pc","directed",2,1
"41",1,0,1,0,"ges","undirected",2,1
"51",1,0.15,0.625,3,"ges","directed",2,1
"61",0,0,NA,5,"arges","undirected",2,1
"71",0,0,NA,5,"arges","directed",2,1
"22",1,0.133333333333333,0.833333333333333,1,"pc","undirected",3,1
"32",1,0.2,0.555555555555556,4,"pc","directed",3,1
"42",1,0.133333333333333,0.833333333333333,1,"ges","undirected",3,1
"52",1,0.2,0.555555555555556,4,"ges","directed",3,1
"62",0,0,NA,5,"arges","undirected",3,1
"72",0,0,NA,5,"arges","directed",3,1
"23",1,0,1,0,"pc","undirected",4,1
"33",0.8,0.15,0.571428571428571,3,"pc","directed",4,1
"43",1,0,1,0,"ges","undirected",4,1
"53",1,0.15,0.625,3,"ges","directed",4,1
"63",0,0,NA,5,"arges","undirected",4,1
"73",0,0,NA,5,"arges","directed",4,1
"24",1,0.133333333333333,0.833333333333333,1,"pc","undirected",5,1
"34",1,0.1,0.714285714285714,2,"pc","directed",5,1
"44",1,0.266666666666667,0.714285714285714,2,"ges","undirected",5,1
"54",0.6,0.3,0.333333333333333,6,"ges","directed",5,1
"64",0,0,NA,5,"arges","undirected",5,1
"74",0,0,NA,5,"arges","directed",5,1
"25",1,0.133333333333333,0.833333333333333,1,"pc","undirected",6,1
"35",0.8,0.1,0.666666666666667,2,"pc","directed",6,1
"45",1,0,1,0,"ges","undirected",6,1
"55",0.6,0.25,0.375,5,"ges","directed",6,1
"65",0,0,NA,5,"arges","undirected",6,1
"75",0,0,NA,5,"arges","directed",6,1
"26",1,0,1,0,"pc","undirected",7,1
"36",1,0.1,0.714285714285714,2,"pc","directed",7,1
"46",1,0,1,0,"ges","undirected",7,1
"56",1,0.15,0.625,3,"ges","directed",7,1
"66",0,0,NA,5,"arges","undirected",7,1
"76",0,0,NA,5,"arges","directed",7,1
"27",1,0.133333333333333,0.833333333333333,1,"pc","undirected",8,1
"37",0.8,0.15,0.571428571428571,3,"pc","directed",8,1
"47",1,0.133333333333333,0.833333333333333,1,"ges","undirected",8,1
"57",1,0.2,0.555555555555556,4,"ges","directed",8,1
"67",0.2,0,1,4,"arges","undirected",8,1
"77",0.2,0.05,0.5,5,"arges","directed",8,1
"28",0.8,0,1,1,"pc","undirected",9,1
"38",0.6,0.05,0.75,2,"pc","directed",9,1
"48",0.6,0,1,2,"ges","undirected",9,1
"58",0.6,0.15,0.5,5,"ges","directed",9,1
"68",0,0,NA,5,"arges","undirected",9,1
"78",0,0,NA,5,"arges","directed",9,1
"29",1,0,1,0,"pc","undirected",10,1
"39",1,0,1,0,"pc","directed",10,1
"49",1,0,1,0,"ges","undirected",10,1
"59",0.8,0.2,0.5,4,"ges","directed",10,1
"69",0,0,NA,5,"arges","undirected",10,1
"79",0,0,NA,5,"arges","directed",10,1
"210",1,0,1,0,"pc","undirected",11,1
"310",0.8,0.1,0.666666666666667,2,"pc","directed",11,1
"410",1,0,1,0,"ges","undirected",11,1
"510",1,0.15,0.625,3,"ges","directed",11,1
"610",0,0,NA,5,"arges","undirected",11,1
"710",0,0,NA,5,"arges","directed",11,1
"211",1,0,1,0,"pc","undirected",12,1
"311",0.8,0.1,0.666666666666667,2,"pc","directed",12,1
"411",1,0,1,0,"ges","undirected",12,1
"511",0.8,0.2,0.5,4,"ges","directed",12,1
"611",0,0,NA,5,"arges","undirected",12,1
"711",0,0,NA,5,"arges","directed",12,1
"212",0.8,0,1,1,"pc","undirected",13,1
"312",0.4,0.1,0.5,3,"pc","directed",13,1
"412",0.8,0,1,1,"ges","undirected",13,1
"512",0.6,0.15,0.5,4,"ges","directed",13,1
"612",0.2,0,1,4,"arges","undirected",13,1
"712",0.2,0.05,0.5,5,"arges","directed",13,1
"213",1,0,1,0,"pc","undirected",14,1
"313",1,0.15,0.625,3,"pc","directed",14,1
"413",1,0,1,0,"ges","undirected",14,1
"513",1,0.15,0.625,3,"ges","directed",14,1
"613",0,0,NA,5,"arges","undirected",14,1
"713",0,0,NA,5,"arges","directed",14,1
"214",1,0.133333333333333,0.833333333333333,1,"pc","undirected",15,1
"314",0.6,0.15,0.5,3,"pc","directed",15,1
"414",1,0,1,0,"ges","undirected",15,1
"514",0.6,0.25,0.375,5,"ges","directed",15,1
"614",0,0,NA,5,"arges","undirected",15,1
